TaskId,TaskType,TotalTime,AlgorithmId,ScoringTime,NumberTemporalQueries,SearchedItemPosition,FirstOccurrence,TotalResults,SearchedItemScore,VBSScore,AvgScore,MedianScore,BestScore,WorstScore
3584f2e1-e562-4e4c-bf25-476d5f68d980,KIST,5.0E9,VITRIVR,30756453,1,-1,-1,12,-1.0,0.0,0.9953593,1.5,1.0,0.9443118
3584f2e1-e562-4e4c-bf25-476d5f68d980,KIST,5.0E9,CLUSTER,19429381,1,-1,-1,6,-1.0,0.0,2.9907186,2.25,10.5,1.4443119
3584f2e1-e562-4e4c-bf25-476d5f68d980,KIST,5.0E9,LNA,13701999,1,-1,-1,12,-1.0,0.0,1.4953593,2.25,1.5,1.4443119
3584f2e1-e562-4e4c-bf25-476d5f68d981,KIST,5.0E9,STA,42582794,2,-1,-1,2816,-1.0,100.0,0.26348442,0.375,0.75,0.25
3584f2e1-e562-4e4c-bf25-476d5f68d981,KIST,5.0E9,NA,81788433,2,-1,-1,2816,-1.0,100.0,0.26348442,0.375,0.75,0.25
3584f2e1-e562-4e4c-bf25-476d5f68d981,KIST,5.0E9,IDA,76068358,2,-1,-1,2816,-1.0,100.0,0.26348442,0.375,0.75,0.25
3584f2e1-e562-4e4c-bf25-476d5f68d981,KIST,5.0E9,VITRIVR,307954084,2,-1,-1,2816,-1.0,69.0,0.26241907,0.375,0.5,0.25
3584f2e1-e562-4e4c-bf25-476d5f68d981,KIST,5.0E9,CLUSTER,192870389,2,-1,-1,1547,-1.0,99.0,0.47962,0.25,13.25,0.25
3584f2e1-e562-4e4c-bf25-476d5f68d981,KIST,5.0E9,LNA,42840186,2,-1,-1,2816,-1.0,100.0,0.26348442,0.375,0.75,0.25
3584f2e1-e562-4e4c-bf25-476d5f68d982,KIST,5.0E9,STA,130599760,3,-1,-1,12143,-1.0,98.0,0.16476648,0.16666667,0.5,0.11111111
3584f2e1-e562-4e4c-bf25-476d5f68d982,KIST,5.0E9,NA,146238902,3,-1,-1,12691,-1.0,97.0,0.14922914,0.14206465,0.5,0.11111111
