TaskId,TaskType,TotalTime,AlgorithmId,ScoringTime,NumberTemporalQueries,SearchedItemPosition,FirstOccurrence,TotalResults,SearchedItemScore,VBSScore,AvgScore,MedianScore,BestScore,WorstScore
3584f2e1-e562-4e4c-bf25-476d5f68d010,KISV,5.0E9,IDA,189984867,1,171,171,10000,0.5,75.0,0.266425,0.375,0.5,0.25
3584f2e1-e562-4e4c-bf25-476d5f68d010,KISV,5.0E9,ASTAR,6725648557,1,171,171,10000,0.5,10.0,0.266425,0.375,0.5,0.25
3584f2e1-e562-4e4c-bf25-476d5f68d010,KISV,5.0E9,VITRIVR,647282583,1,171,171,10000,0.5,93.0,0.266425,0.375,0.5,0.25
3584f2e1-e562-4e4c-bf25-476d5f68d010,KISV,5.0E9,CLUSTER,84530559,1,1310,1310,3824,0.5,89.0,0.6967181,0.375,19.0,0.25
3584f2e1-e562-4e4c-bf25-476d5f68d010,KISV,5.0E9,LNA,176874140,1,171,171,10000,0.5,76.0,0.266425,0.375,0.5,0.25
3584f2e1-e562-4e4c-bf25-476d5f68d090,KIST,5.0E9,STA,141610661,1,24,24,10000,0.6,85.0,0.23006,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d090,KIST,5.0E9,SQA,87701153,1,24,24,10000,0.6,84.0,0.23006,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d090,KIST,5.0E9,NA,81124370,1,24,24,10000,0.6,84.0,0.23006,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d090,KIST,5.0E9,IDA,72254565,1,24,24,10000,0.6,84.0,0.23006,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d090,KIST,5.0E9,ASTAR,4368140207,1,24,24,10000,0.6,42.0,0.23006,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d090,KIST,5.0E9,VITRIVR,818012372,1,24,24,10000,0.6,64.0,0.23006,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d090,KIST,5.0E9,CLUSTER,59159766,1,148,148,6015,1.6,86.0,0.38247716,0.2,28.800035,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d090,KIST,5.0E9,LNA,75551993,1,24,24,10000,0.6,84.0,0.23006,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d080,KIST,5.0E9,STA,86853716,1,778,778,10000,0.4,98.0,0.2523,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d080,KIST,5.0E9,SQA,60440771,1,778,778,10000,0.4,99.0,0.2523,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d080,KIST,5.0E9,NA,48470971,1,778,778,10000,0.4,99.0,0.2523,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d080,KIST,5.0E9,IDA,107544235,1,778,778,10000,0.4,98.0,0.2523,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d080,KIST,5.0E9,ASTAR,2644722819,1,778,778,10000,0.4,72.0,0.2523,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d080,KIST,5.0E9,VITRIVR,306905491,1,778,778,10000,0.4,97.0,0.2523,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d080,KIST,5.0E9,CLUSTER,107107286,1,597,597,6807,0.6,98.0,0.37064788,0.2,10.399999,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d080,KIST,5.0E9,LNA,54635724,1,778,778,10000,0.4,99.0,0.2523,0.3,0.6,0.2
3584f2e1-e562-4e4c-bf25-476d5f68d100,KIST,5.0E9,STA,25879167,1,59,59,331,1.0,83.0,0.99419194,1.0,1.0,0.7769873
3584f2e1-e562-4e4c-bf25-476d5f68d100,KIST,5.0E9,SQA,36028002,1,59,59,331,1.0,84.0,0.99419194,1.0,1.0,0.7769873
3584f2e1-e562-4e4c-bf25-476d5f68d100,KIST,5.0E9,NA,24106583,1,59,59,331,1.0,84.0,0.99419194,1.0,1.0,0.7769873
3584f2e1-e562-4e4c-bf25-476d5f68d100,KIST,5.0E9,IDA,19874112,1,59,59,331,1.0,84.0,0.99419194,1.0,1.0,0.7769873
3584f2e1-e562-4e4c-bf25-476d5f68d100,KIST,5.0E9,ASTAR,89437931,1,59,59,331,1.0,83.0,0.99419194,1.0,1.0,0.7769873
3584f2e1-e562-4e4c-bf25-476d5f68d100,KIST,5.0E9,VITRIVR,58824748,1,59,59,331,1.0,100.0,0.99419194,1.0,1.0,0.7769873
3584f2e1-e562-4e4c-bf25-476d5f68d100,KIST,5.0E9,CLUSTER,27064797,1,30,30,188,2.0,93.0,1.7504123,1.5,10.84925,0.7779997
3584f2e1-e562-4e4c-bf25-476d5f68d100,KIST,5.0E9,LNA,35766782,1,59,59,331,1.0,84.0,0.99419194,1.0,1.0,0.7769873
3584f2e1-e562-4e4c-bf25-476d5f68d110,KIST,5.0E9,STA,48269485,1,18,18,465,1.0,100.0,0.9787119,1.0,1.0,0.7182549
3584f2e1-e562-4e4c-bf25-476d5f68d110,KIST,5.0E9,SQA,35824102,1,18,18,465,1.0,100.0,0.9787119,1.0,1.0,0.7182549
3584f2e1-e562-4e4c-bf25-476d5f68d110,KIST,5.0E9,NA,16892851,1,18,18,465,1.0,100.0,0.9787119,1.0,1.0,0.7182549
3584f2e1-e562-4e4c-bf25-476d5f68d110,KIST,5.0E9,IDA,19493159,1,18,18,465,1.0,100.0,0.9787119,1.0,1.0,0.7182549
3584f2e1-e562-4e4c-bf25-476d5f68d110,KIST,5.0E9,ASTAR,160579265,1,18,18,465,1.0,99.0,0.9787119,1.0,1.0,0.7182549
3584f2e1-e562-4e4c-bf25-476d5f68d110,KIST,5.0E9,VITRIVR,108449864,1,18,18,465,1.0,91.0,0.9787119,1.0,1.0,0.7182549
3584f2e1-e562-4e4c-bf25-476d5f68d110,KIST,5.0E9,CLUSTER,20284475,1,15,15,263,4.0,100.0,1.7304221,1.0,19.0,0.7280534
3584f2e1-e562-4e4c-bf25-476d5f68d110,KIST,5.0E9,LNA,19147365,1,18,18,465,1.0,100.0,0.9787119,1.0,1.0,0.7182549
3584f2e1-e562-4e4c-bf25-476d5f68d120,KIST,5.0E9,STA,110280798,1,516,516,10000,0.33333334,89.0,0.3379778,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d120,KIST,5.0E9,SQA,106544704,1,516,516,10000,0.33333334,90.0,0.3379778,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d120,KIST,5.0E9,NA,124202924,1,516,516,10000,0.33333334,90.0,0.3379778,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d120,KIST,5.0E9,IDA,109312619,1,516,516,10000,0.33333334,90.0,0.3379778,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d120,KIST,5.0E9,ASTAR,12909599752,1,516,516,10000,0.33333334,0.0,0.3379778,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d120,KIST,5.0E9,VITRIVR,765973538,1,517,517,10000,0.33333334,77.0,0.3379778,0.5,0.6666667,0.33333334
